"product_name","revenue","rank"
Canon imageCLASS 2200 Advanced Copier,35699.9,1
Martin Yale Chadless Opener Electric Letter Opener,11825.902,2
GBC DocuBind TL300 Electric Binding System,10943.277,3
Hewlett Packard LaserJet 3310 Copier,9239.846,4
Samsung Galaxy Mega 6.3,9239.779,5
Cubify CubeX 3D Printer Triple Head Print,7999.98,6
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,7371.742,7
HON 5400 Series Task Chairs for Big and Tall,7220.0938,8
GBC DocuBind P400 Electric Binding System,7077.148,9
Lexmark MX611dhe Monochrome Laser Printer,5609.967,10
"3D Systems Cube Printer, 2nd Generation, Magenta",5199.96,11
Fellowes PB300 Plastic Comb Binding Machine,5043.87,12
Cubify CubeX 3D Printer Double Head Print,4799.984,13
Canon Imageclass D680 Copier / Fax,4759.9316,14
Adjustable Depth Letter/Legal Cart,4754.2515,15
Global Troy Executive Leather Low-Back Tilter,4659.1143,16
GBC DocuBind 300 Electric Binding Machine,4628.624,17
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,4346.777,18
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),4129.882,19
Tennsco Single-Tier Lockers,4053.6719,20
Canon Image Class D660 Copier,3959.934,21
Tennsco 16-Compartment Lockers with Coat Rack,3887.34,22
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,3636.468,23
Canon PC1080F Personal Copier,3599.94,24
Polycom CX600 IP Phone VoIP phone,3599.4001,25
GBC DocuBind TL200 Manual Binding Machine,3583.68,26
Tennsco Double-Tier Lockers,3510.312,27
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.8398,28
Hon 5100 Series Wood Tables,3433.564,29
Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,30
Logitech P710e Mobile Speakerphone,3398.868,31
Bady BDG101FRU Card Printer,3359.958,32
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,3357.72,33
Polycom SoundPoint IP 450 VoIP phone,3342.728,34
Global Commerce Series Low-Back Swivel/Tilt Chairs,3340.74,35
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,3299.5,36
Wilson Electronics DB Pro Signal Booster,3293.6,37
Bretford Rectangular Conference Table Tops,3253.5244,38
Global Ergonomic Managers Chair,3130.9539,39
Samsung Galaxy S4 Mini,3101.934,40
"Global Leather and Oak Executive Chair, Black",3069.996,41
Google Nexus 5,3059.8298,42
Samsung Galaxy S4,3004.752,43
Bush Advantage Collection Racetrack Conference Table,2969.47,44
GE 30524EE4,2939.85,45
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,2799.86,46
Chromcraft Round Conference Tables,2788.64,47
Balt Solid Wood Round Tables,2768.238,48
Maxell iVDR EX 500GB Cartridge,2755.4,49
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",2733.8398,50
"3.6 Cubic Foot Counter Height Office Refrigerator",2710.504,51
Letter Size Cart,2685.768,52
Hon 94000 Series Round Tables,2665.62,53
Polycom VoiceStation 500 Conference phone,2595.56,54
Plantronics Savi W720 Multi-Device Wireless Headset System,2531.7002,55
GuestStacker Chair with Chrome Finish Legs,2527.9678,56
Hoover Shoulder Vac Commercial Portable Vacuum,2504.74,57
Hon GuestStacker Chair,2493.3699,58
ClearOne CHATAttach 160 - speaker phone,2479.96,59
DMI Arturo Collection Mission-style Design Wood Chair,2476.072,60
Apple iPhone 5,2469.354,61
Okidata MB491 Multifunction Printer,2395.2,62
